Russian,English
направление,direction
человечество,mankind
вроде (+g),"like, such as"
громадный,enormous
лёгкий,"light, easy"
пользоваться/вос- (+inst),"to use, make use of"
предложение,"offer, suggestion; sentence (grammar)"
элемент,element
являться/явиться,to appear
вероятно,probably
печь/ис- (+a),to bake
печь (f),stove
казаться/по-,"to seem, to appear, to show oneself"
умный,intelligent
глава,"head, chief; chapter"
плакать/за-,"to cry, weep, p: to begin to cry"
сквозь (+a),through
способ,"way, method"
способный,"able, capable"
церковь (f),church
"часы (m, pl)","watch, clock"
честь (f),honour
открытый,open (adj)
память (f),memory
понятно,understandably; I see! I understand!
совещание,"meeting, conference"
замечательный,"remarkable, splendid"
знаменитый,famous
предмет,"object, article; subject, topic"
слеза,tear
где-то,somewhere
дно,"bottom (of sea, river, well, vessel)"
магазин,"shop, store"
вещество́,"substance, matter"
создание,creation; creature
старуха,old woman
карман,pocket
музей,museum
падать/пасть,to fall
ясный,clear
поверхность (f),surface
близко,"it is near, it is not far; near, close; closely"
заявлять/заявить (о +pr),to announce
золотой,"gold, golden"
колено,knee
равный,equal (adj)
следующий,"following, next"
снимать/снять (+a),to take off; photograph; rent
страх,fear
тёплый,warm
высота,height
музыка,music
остров,island
относиться/отнестись (к +d),"to relate to; to regard, treat"
переставать/перестать (+inf),"to cease, stop"
столь,so
мирный,"peace, peaceful"
трудный,difficult
долгий,long (in time)
железный,iron (adj)
прямой,"straight, direct"
социальный,social
волос,(a) hair
воспитание,upbringing
дитя (n),child
покупать/купить (+a),to buy
луна,moon
пускать/пустить (+a),to allow; let in; let go
вместо (+g),instead of
несмотря (на +a),in spite of
кулак,fist; kulak (rich peasant)
кухня,kitchen
любовь (f),love
рисунок,drawing
слой,"layer, stratum"
тема,"subject, topic, theme"
цена,price
конь (m),horse
материальный,material (adj)
теория,theory
баба,"peasant woman; (coll) old woman, woman"
терять/по- (+a),to lose
прекрасный,"beautiful, fine"
род,"family, kin; birth, origin; sort, kind; gender"
голубой,light blue
господь (m),"God, the Lord"
губа,lip
посылать/послать (+a),to send
руководитель (m),"leader, manager; instructor, supervisor"
специальный,special
тётя,aunt
центральный,central
всего,"in all, altogether; only"
вывод,"conclusion, deduction"
выполнять/выполнить (+a),"to carry out, fulfil"
зерно,"grain, seed"
молодёжь (f),young people
эх,"eh! oh! (expressing regret, annoyance, reproach, amazement)"
возможно,possibly; possible; it is possible
глубоко,"deep; deeply, it is deep"
добиваться/добиться (+g),"to obtain, achieve; to strive for; to get"
местный,local
растение,plant
старик,old man
поход,"campaign; walking tour, expedition; cruise"
спина,back [noun]
судить (i/p) (о +pr),to judge; (+a) try (s.o.)
умирать/умереть,to die
экономика,economics; economy
больной,"ill; sore; (as noun) patient, invalid"
дух,spirit; breath
ниже,"lower, below"
океан,ocean
запас,"stock, supply; reserve"
земной,"earthly, terrestrial"
министерство,ministry (government)
обязательно,"without fail, definitely"
польза,use; benefit
предлагать/предложить (+a +d),"to offer, propose (sth to s.o.)"
создавать/создать (+a),to create
вновь,"anew, again; newly"
зависеть (i) (от +g),to depend (on)
плод,fruit
радио (n) (indecl),radio
разнообразный,"various, varied"
существование,existence
бывший,former
касаться/коснуться (+g),to touch; to concern
никак,in no way; by no means
основание,"foundation, basis; founding"
приказывать/приказать (+d),"to order, command s.o."
родной,"native; own; (as noun, in pl) relatives, relations"
солнечный,"sun, solar; sunny"
стремиться (i) (к +d),to strive (for)
газ,gas
орудие,"instrument; implement; (field) gun, piece of ordnance"
радость (f),joy
том,volume (book)
честный,honest
исследование,investigation; research
ладонь (f),palm (of the hand)
определённый,definite; certain
позиция,position
ради (+g),for the sake of
срок,"period (of time); (last) date, deadline"
слышать/у- (+a),to hear
ухо,ear
шум,"noise, din"
аппарат,apparatus
гораздо,much (with comparatives)
капитал,capital (financial)
плохой,bad
площадь (f),square; area
поезд,train
профессор,professor
серьёзно,seriously
соль (f),salt
сон,sleep; dream
тень (f),shade; shadow
гражданин,citizen
доставать/достать (+a),"to get, obtain; take out; reach"
дурак,fool
ибо,for (because)
лошадь (f),horse
пшеница,wheat
столько (+g),"so much, so many"
эпоха,"epoch, age"
давай(те),let’s (do sth)
беда,misfortune
дальний,"distant, remote"
закрывать/закрыть (+a),"to close, shut; to cover"
звезда,star
обычный,usual
проводить/провести (+a),"to lead, conduct; spend (time)"
разговаривать (i),"to converse, talk"
размер,"size, scale, extent"
разрешать/разрешить (+d of person),"to allow, permit; solve"
нечего,there is nothing
атмосфера,atmosphere
лодка,"boat, rowing boat"
название,name; title (book)
правильный,"correct, right"
пустой,empty
сапог,boot; jackboot
скорее,quicker; rather
дальнейший,further
журнал,"magazine, periodical; journal, register"
либо,or
телевизор,television (set)
ракета,rocket
способность (f),ability
академия,academy
впечатление,impression
древний,ancient
иметься (i),"to be, be available"
ожидать (i) (+a or +g),to wait (for); to expect
пароход,steamer
разоружение,disarmament
след,"footprint; trace, vestige"
удар,"blow, strike"
внешний,exterior
нож,knife
грудь (f),breast
крайний,extreme
моряк,sailor
наоборот,"on the contrary, vice versa, the other way round"
передовой,advanced; progressive
принцип,principle
тайна,"secret, mystery"
тихий,"quiet, calm"
устанавливать/установить (+a),"to set up, establish"
электрический,electric
верный,"faithful, correct, reliable, sure"
ворота (nom pl),"gate, gates"
дворец,palace
золото,gold
открытие,opening; discovery
отсюда,from here; hence
специалист,specialist
длина,length
наблюдать (i) (+a),"to observe, watch"
немедленно,"immediately, forthwith"
немецкий,German (adj)
повышение,"rise, increase; promotion"
получаться/получиться,"to turn out, work out, result"
соглашаться/согласиться,"to agree (c +inst) with, (на +a) to"
участие,participation; sympathy
весело,"merrily, cheerfully"
левый,left; left-wing
московский,Moscow (adj)
постоянный,"constant, permanent"
приказ,"command, order"
роман,"novel; love affair, romance"
смех,"laughter, laugh"
твёрдый,"hard, firm, solid"
тон,"tone, musical tone; colour tone, tint"
абсолютно,absolutely
деталь (f),detail; component (of machine)
объём,"volume, capacity, size"
интересно,interestingly; it is interesting
книжка,(small) book
курс,"course, course of study; rate of exchange"
почва,soil
низкий,low
очевидно,obviously
пыль (f),dust
светлый,"light, bright"
серый,grey
анализ,analysis
влияние,influence
молчать/по-,to be silent for a while
руководство,"leadership; guide, manual"
атомный,atomic
граница,frontier; limit
защита,defence
кусок,piece
молчание,silence
наверное,probably
неожиданно,unexpectedly
пара,"pair, couple"
платок,"shawl, kerchief"
практический,practical
предел,limit
стенка,"wall, partition, side"
существо,"essence; being, creature"
тишина,"quiet, silence"
товар,"commodity, article"
вершина,"summit, peak"
взрыв,explosion
виноватый,"guilty, to blame"
вырастать/вырасти,"to grow, increase"
гражданский,"civil, civic"
деятель (m),"agent, figure"
дождь (m),rain
называться/назваться,to be called
невозможно,impossibly; it is impossible
обещать (i/p) (+d),to promise (s.o.)
позволять/позволить (+d),to permit (s.o.)
роль (f),role
сестра,sister
следовательно,"consequently, therefore"
столица,capital (city)
фигура,figure
царь (m),tsar
бедный,poor
верхний,upper
вслед (за +inst),after
изменение,"change, alteration"
носить (i) (+a),to carry (around); wear
особенность (f),"peculiarity, special feature"
рад,glad (short adj)
резко,"sharply, abruptly"
звонок,"bell, ring; telephone call"
испытание,"test, trial; ordeal"
необходимость (f),necessity
обстановка,"environment, situation; furniture"
печать (f),"seal, stamp; print, printing"
повод,"cause, grounds"
постоянно,"constantly, perpetually"
разуметься (i),to be meant
стакан,"glass, tumbler"
точный,"exact, precise"
уезжать/уехать,"to go away, leave (by transport)"
широко,"widely, broadly"
возможный,possible
изучение,(detailed) study (of)
комиссия,"commission, committee"
гектар,"hectare (10,000 square metres, 2.5 acres)"
благодарить/по- (+a; за +a),to thank (s.o. for sth)
блестящий,"shining, bright, brilliant"
вес,weight
врач,doctor
жёлтый,yellow
крик,"cry, shout"
нынче,now (= теперь); today (coll)
обеспечивать/обеспечить (+a +inst),"to supply, provide (s.o. with sth); (+a) assure, guarantee"
поэт,poet
рот,mouth
собака,dog
соседний,"neighbouring, next"
туман,"fog, mist"
капитан,captain
философия,philosophy
доказывать/доказать (+a),"to demonstrate, prove"
здоровье,health
извинять/извинить (+a),to pardon
ошибка,mistake
тотчас,immediately
вагон,"carriage, coach, wagon"
гореть/за-,"to burn, be alight"
далёкий,"distant, remote"
канал,canal; channel
практика,practice
сожаление,regret
укрепление,strengthening
быт,"way of life, everyday life"
делаться/с- (+inst),to become; be done
крыша,roof
недостаток,defect; (+g or в +pr) shortage (of)
отрасль (f),"branch (of science, industry, government, etc.)"
подавать/подать (+a),to give; serve (food); present
поиск,search
порт,port
свидание,"meeting, rendezvous"
требование,demand
черта,"feature, trait; line"
штат,"staff (of institution); state (of the USA, Australia)"
вздыхать/вздохнуть,to sigh
записка,note (written)
озеро,lake
организовать (i/p) (+a),to organize
сознание,consciousness
тепло,warmly; it is warm; warmth
прежний,former
пространство,"space, expanse"
составлять/составить (+a),"to make up, compose, constitute"
спутник,travelling companion; satellite
стрелять (i) (в +a or по +d),to shoot (at)
вдоль (+g),along
встречаться/встретиться (с +inst),to meet (s.o.)
документ,document
мечтать (i) (о +pr),to (day) dream (about)
обычно,usually
продукт,product
секунда,second
сельскохозяйственный,agricultural
странный,strange
братский,"fraternal, brotherly"
доходить/дойти (до +g),to reach (s.o. or sth)
достижение,achievement
заходить/зайти,"(к +d) to call on s.o.; (за +a) go behind, set (of sun)"
мёртвый,dead
могучий,powerful
мотор,"motor, engine"
независимость (f),independence
представление,"presentation; performance; notion, conception"
применение,"application, use"
трудность (f),difficulty
удовольствие,pleasure
узкий,narrow
боец,"fighter, soldier"
жалко,pitifully; it’s a pity; (+g) be sorry for
массовый,mass (adj)
меньше,less
мечта,"dream, daydream"
ночной,night (adj)
обратно,back (adv)
опасность (f),danger
отказываться/отказаться (+inf),to refuse (to do sth); (от +g) renounce (sth)
полк,regiment
полностью,"fully, completely"
попытка,attempt
прошлое,the past
рис,rice
спокойный,calm
уголь (m),coal
учреждение,"establishment, institution"
щека,cheek
возраст,age
громко,loudly
дым,smoke
желание,"wish, desire"
забота,"care, trouble"
использование,utilization
красота,beauty
мощный,powerful
постепенно,gradually
президент,president
рыба,fish
следить (i) (за +inst),"to watch, keep an eye on"
хватать/схватить (+a),"to seize, grab"
темнота,darkness
трава,grass; herb
тяжело,"heavily; gravely; it is hard, painful"
улучшение,improvement
улыбка,smile
учение,"learning, study, instruction"
глупый,"stupid, silly"
зато,"in compensation, on the other hand"
лоб,forehead
немало,"not a little, a good many"
поколение,generation
учитель (m),teacher
видимо,evidently
воевать (i),to wage war
выступление,speech; (public) appearance
юноша,(a) youth
значительно,"significantly, considerably"
из-под (+g),from under
ложиться/лечь,to lie down
пробовать/по-,(+inf) to try; (+a) test; taste
промышленный,industrial
слабый,weak
стул,chair
фотография,photograph
цепь (f),chain
восстание,uprising
задание,"task, assignment"
наверно,"probably, most likely"
обращаться/обратиться (к +d),"to turn to; (в +a) turn into; (c +inst) handle sth, treat s.o."
октябрь (m),October
отличаться/отличиться,to distinguish os; (от +g i only) differ
повторять/повторить (+a),to repeat
содержание,content (noun)
устраивать/устроить (+a),"to arrange, organize (sth)"
важно,it is important
вера,"faith, belief"
демократический,democratic
долг,debt; (sg only) duty
зима,winter
крепко,firmly
молча,"in silence, without speaking"
переход,"crossing, transition"
знакомиться/по- (с +inst),to become acquainted with; meet
портрет,portrait
чудо,"marvel, miracle"
бок,side
вводить/ввести (+a),"to bring in, introduce"
держаться (i) (за +a),to hold on (to); (+g) keep to
жалеть/по- (+a),"to pity, feel sorry for; (o +pr) regret"
итак,"so, so then"
надеяться (i),to hope
настроение,mood
облако,cloud
одновременно,simultaneously
отходить/отойти (от +g),to move away (from); depart (train)
понятие,"concept, notion"
поток,"stream, flow"
рождаться/родиться,to be born
стоимость (f),"cost, value"
стремление,"striving, aspiration, desire"
территория,territory
висеть (i),"to hang, be hanging"
вниз,down
горный,mountain (adj); mining
городской,"urban, town (adj)"
диван,"divan, couch"
заговаривать/заговорить,to start speaking
кстати,"incidentally, by the way; opportunely"
образец,"model, pattern"
принадлежать (i) (+d),to belong to; (к +d) be a member of
суд,court (of law); trial
автомобиль (m),car
адрес,address
вверх,upwards
духовный,spiritual
иностранный,foreign
литературный,literary
напоминать/напомнить (+d о +pr),to remind (s.o. of sth.)
осторожно,"carefully, cautiously"
побеждать/победить (+a),"to defeat, conquer"
полезный,useful
расчёт,calculation
уверенный,"confident, sure"
болезнь (f),illness
впереди,ahead
